"","SampleId","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Mode","Sample"
"149","TCGA-61-2110-01",0.426776224844232,0.0855662253833256,0,0,0.207575100177268,0,0,0,0,0,0,0,0,0,0,0,0,0.103646480144344,0,0,0,0,0,0.0967409165120635,0,0,0,0,0,0,"Tumor-only","OV"
"151","TCGA-61-2113-01",0.246472785426875,0.064746881679612,0.0929181832531065,0,0.174783485906029,0,0.0983273699577208,0,0,0,0,0,0,0,0,0,0,0,0.0825440476535406,0,0,0,0,0.15183857933685,0,0,0,0,0,0.0710286889812594,"Tumor-only","OV"
"161","TCGA-04-1542-01",0.315058121354496,0,0.347470001595152,0,0.137633628027022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729196043287905,0,0,0,0,0,0,0,0,0,0.120961631094911,"Tumor-only","OV"
"162","TCGA-04-1655-01",0.188634158340361,0,0.184681416378624,0,0.461316958209926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731857813191634,0,0,0,0,0,0,"Tumor-only","OV"
"163","TCGA-09-0365-01",0.348658629294253,0,0.153906150929464,0.0666260342981562,0.0858370887317623,0.21452462155119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"164","TCGA-09-0366-01",0.228869667946419,0,0,0,0.266620794676735,0.0772625091745231,0,0,0,0,0,0,0,0,0,0,0,0,0.198435095746946,0,0,0,0,0,0,0,0,0,0,0.0885254269824655,"Tumor-only","OV"
"165","TCGA-09-0369-01",0.193213327894341,0,0,0,0.419809341907577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117969298062678,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"167","TCGA-09-1672-01",0.360787518874406,0.074678987797603,0.13102562948827,0.130728670902976,0,0.123252434492474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924641190639284,"Tumor-only","OV"
"168","TCGA-09-1673-01",0.144910033139037,0,0,0,0.564841562072517,0,0,0,0,0,0,0,0,0,0.116017902221969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"169","TCGA-09-1674-01",0.194426043738029,0,0.298927245018663,0,0.222224549556096,0.0833450124842118,0,0,0,0,0,0,0.0734122012244421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
